BX08, 40.834929562942712, -73.873566414556549
BK64, 40.676004320881553, -73.967691790061878
BK63, 40.666452868581274, -73.946776230349457
BK61, 40.674978840660764, -73.935847442488694
BK60, 40.65861176079207, -73.946953595163905
BX03, 40.881508758906321, -73.831043001443746
BX01, 40.843424773244003, -73.900455085012325
BX06, 40.85883963278058, -73.885293131796644
BX07, 40.862150647892122, -73.865101064831251
BK69, 40.690423399521791, -73.961546970442242
BK68, 40.691992484657128, -73.977694541365295
SI48, 40.556929363600261, -74.18977445078616
BX09, 40.822005784291662, -73.878260840334363
QN18, 40.726041095583355, -73.863896490122471
MN40, 40.775283398401896, -73.960816366003215
QN19, 40.702287330742529, -73.876698161870209
SI45, 40.569416808602639, -74.105715760215261
QN52, 40.753034731340612, -73.807162295896177
QN53, 40.687724812367392, -73.85481395194688
QN38, 40.728338699149333, -73.805422573969977
QN30, 40.723423638391267, -73.903599924722585
QN31, 40.731922197032297, -73.935369072622251
QN33, 40.6949267611894, -73.736612359294483
QN34, 40.716795537404863, -73.743136563826766
QN35, 40.712328253821582, -73.806830676306618
QN37, 40.726057548314202, -73.81868704090536
BK50, 40.646783577792405, -73.888445566228086
BK58, 40.628143803518761, -73.929254740280967
BX99, 40.819166253857766, -73.870921716079422
BX98, 40.793500503070241, -73.880706093629286
BX05, 40.869025384316217, -73.889298169666318
SI54, 40.543123904006997, -74.14360928037776
SI05, 40.588901316611874, -74.196068790732397
MN34, 40.80509323064291, -73.934789675935178
MN35, 40.85761681370154, -73.937303109056458
MN36, 40.842464665448986, -73.943377751182524
MN31, 40.760016977454676, -73.951876557043803
MN32, 40.780503995460641, -73.938522335204652
MN33, 40.788157902078098, -73.942256153843473
QN29, 40.7371952842987, -73.879512871799363
SI07, 40.616551216337648, -74.125858480860416
QN23, 40.787013252058841, -73.868318721231631
QN22, 40.759831467903354, -73.82808277250389
QN21, 40.718830404573744, -73.882422924843567
QN20, 40.706842319666457, -73.903621147857038
QN27, 40.763382932415361, -73.865870710272958
QN26, 40.754365434322025, -73.860967274659657
QN25, 40.740842254725358, -73.856696593899642
BK45, 40.613817954960801, -73.901965926944527
BK44, 40.605535727268169, -73.946373547290207
BK46, 40.617842175728143, -73.971444797464045
BK41, 40.640727047522752, -73.976414275711136
BK40, 40.655330707558555, -73.977519028751374
BK43, 40.621723566922384, -73.958223121055369
BK42, 40.637150614929325, -73.96218748113192
QN98, 40.637151285766528, -73.747082387237938
QN99, 40.561421205774828, -73.885580104553583
QN17, 40.720774117584341, -73.844461292296174
QN15, 40.602796693173836, -73.757710183329124
QN12, 40.596907378332332, -73.79126090479204
BX39, 40.80471210108719, -73.913120257962305
QN10, 40.562108345846916, -73.907554694333939
MN28, 40.705687831310861, -73.982039116512126
MN27, 40.713712635363628, -73.99627276473278
MN09, 40.80871069095037, -73.964407055987607
MN25, 40.694739166795955, -74.00144418302888
MN24, 40.720419921302188, -74.007676605308617
MN23, 40.735211535866732, -74.007154106366201
MN22, 40.727045958616081, -73.986553698312548
MN21, 40.736606370275084, -73.983992012343094
MN20, 40.739625442489334, -73.974552293682677
BX14, 40.831675544938108, -73.914234485016365
BX17, 40.844216633170561, -73.881138111615911
QN28, 40.759157251971331, -73.887540148338147
BX10, 40.834902908483876, -73.788790672615079
BX13, 40.875541621690623, -73.830337564435922
BK31, 40.625127190305506, -74.029128679488423
BK38, 40.697391889552556, -73.986317918788345
BK33, 40.675939855887812, -74.010504540301795
BK30, 40.621475888637519, -74.014207014974076
BX33, 40.819729017050363, -73.898559411340031
BK32, 40.655614664816525, -74.011769010258234
BX49, 40.854369573597211, -73.853208778710609
BK34, 40.639897317128806, -74.00680340797274
BK35, 40.688752387982177, -73.930399888583608
BK37, 40.671691934978504, -73.984301906005129
QN01, 40.694715980214752, -73.792021821852316
QN03, 40.661952017305623, -73.77039332131271
MN19, 40.748412026025271, -73.969587500434073
QN05, 40.644531661614621, -73.744588331912297
QN07, 40.710504890637722, -73.76406789191779
QN06, 40.719044416815336, -73.778645887241979
MN12, 40.790706996406847, -73.97747844924487
QN08, 40.69280015357581, -73.764231173945134
MN11, 40.803179203125232, -73.950530064402656
MN17, 40.756445931215332, -73.982880582098062
MN14, 40.775319632960496, -73.98843966132344
MN15, 40.766597451477573, -73.996615249078459
BX62, 40.899887350715375, -73.856676201924245
BX63, 40.831119475400762, -73.92359123318991
QN68, 40.75991515731225, -73.937263570494977
BK29, 40.596895404553841, -73.990396458894253
BK28, 40.608468361936097, -73.995809383968663
BK23, 40.579624958771113, -73.972273862575392
BK21, 40.575203522957267, -73.98798267562303
BK27, 40.602430292022405, -74.008807559990842
BK26, 40.586539196982997, -73.988521085108047
BK25, 40.598382517246385, -73.964716792312046
MN04, 40.827968162150079, -73.950633964851306
MN06, 40.819673017518326, -73.956074480927526
MN01, 40.856012766632816, -73.922080860353418
SI01, 40.520765183477685, -74.192721886817182
MN03, 40.826259179500852, -73.937031476363842
SI08, 40.618888522196812, -74.084647791094866
MN13, 40.749136403170226, -74.006034044564302
QN76, 40.677929241674398, -73.790308075005527
QN70, 40.761548317087808, -73.918787621530697
QN71, 40.772392767149285, -73.93007517704963
QN72, 40.782009221927368, -73.895698965311013
BX75, 40.834707228549718, -73.883346275523877
SI99, 40.540416546778957, -74.129973865715655
QN02, 40.672980076300391, -73.772517391814574
SI12, 40.642605183867779, -74.159400983208997
SI11, 40.530093341022173, -74.237009725211323
QN66, 40.676518937194793, -73.744923399463104
QN63, 40.750475857828498, -73.904049476495004
QN62, 40.743621304928951, -73.818863325628641
